ID_PROD_UNID_FAT,QTD_FINAL_V33,NEC_DIRETA_PCS_V33,NEC_ESTRUTURAL_BRUTA_PCS_V33,ESTOQUE_ESTRUTURAL_CONSUMIDO_PCS_V33,NEC_ESTRUTURAL_PCS_V33,NEC_TOTAL_PCS_V33,QTD_PRODUZIR_DIRETA_SOLVER_V33,QTD_PRODUZIR_ESTRUTURAL_SOLVER_V33,DIF_FALTA_PAI_FILHO_V33,DIF_SOBRA_PAI_FILHO_V33
AGO26|Acessórios|1210TE-PR,0.0,0.0,170.89919025453196,170.89919025453196,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2130PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2163,0.0,0.0,3200.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2165,0.0,0.0,6512.889999999999,6512.889999999999,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2166,0.0,0.0,6512.889999999999,6512.889999999999,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2167,0.0,0.0,6512.889999999999,6512.889999999999,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2168,0.0,0.0,3312.89,3312.8899999999994,4.547473508864641e-13,4.547473508864641e-13,0.0,0.0,4.547473508864641e-13,0.0
AGO26|Acessórios|2169,0.0,0.0,3200.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2172,0.0,0.0,3200.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2178,0.0,0.0,3312.89,3312.89,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2193,0.0,0.0,1620.58,1620.58,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2196,0.0,0.0,131228.0,131228.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2197,0.0,0.0,16946.00194092827,16946.00194092827,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2198,0.0,0.0,16683.90170940171,16683.90170940171,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2205,0.0,0.0,16683.90170940171,16683.90170940171,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2210,0.0,0.0,1620.58,1620.58,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2224,0.0,0.0,16683.90170940171,16683.90170940171,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2229,0.0,0.0,1620.58,1620.58,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|Acessórios|2445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO26|CENTRO-OESTE|0023,18192.0,18192.0,0.0,0.0,0.0,18192.0,18192.0,0.0,0.0,0.0
